9, 809435
12, 654009
15, 262167
31, 987065
131, 492398
145, 991182
146, 353892
148, 815810
150, 39776
151, 69876
207, 393314
292, 649435
310, 485794
315, 450674
320, 644161
324, 690659
327, 833109
348, 617611
354, 68872
366, 460229
401, 551808
402, 303446
406, 82318
424, 264603
433, 804432
441, 91563
442, 990489
447, 760924
448, 377279
452, 136164
455, 788049
457, 276490
460, 274725
466, 993822
475, 243233
476, 407785
488, 732407
510, 862433
515, 116181
536, 651161
546, 489713
555, 110892
568, 112345
603, 763950
605, 977778
608, 938458
615, 72610
616, 740065
629, 206774
637, 50156
640, 257227
644, 246411
655, 437226
661, 603280
671, 905641
679, 711126
687, 135723
695, 517764
701, 907576
705, 463328
708, 280117
715, 78139
716, 438276
724, 619977
733, 158631
734, 396467
736, 361120
738, 347291
746, 767014
770, 632885
781, 76321
791, 716768
795, 857805
806, 361242
807, 322674
817, 339894
842, 624827
843, 785604
847, 740597
853, 520492
865, 406208
872, 284864
890, 287139
900, 635421
904, 229811
912, 335920
918, 685218
937, 19248
945, 794975
950, 916992
957, 435117
960, 866528
963, 170444
967, 564513
972, 874101
974, 766505
975, 72558
976, 529925
981, 769233
982, 210841
